#{"t_start": 1605599463.7418497, "env_id": "ChromeDino-v0"}
r,l,t
5.8,69,10.341366
11.4,125,22.952029
5.2,63,30.10201
6.9,80,36.345036
10.0,111,47.672563
27.5,286,78.406703
2.4,35,83.817022
24.5,256,110.44622
10.4,115,119.371961
1.8,29,124.528965
10.1,112,134.947716
24.5,256,159.762702
11.7,128,171.268267
11.7,128,182.864413
6.4,75,187.914713
3.4,45,192.909852
12.5,136,210.85527
6.1,72,215.832966
4.5,56,224.102774
6.2,73,229.156106
4.4,55,237.373774
8.9,100,245.84242
1.7,28,251.051208
24.5,256,277.603086
24.5,256,302.588629
24.5,256,326.143551
11.7,128,337.185174
11.7,128,349.111937
11.7,128,360.503489
11.7,128,371.831704
11.7,128,383.307119
10.4,115,391.120332
2.8,39,396.230847
9.1,102,405.882543
11.7,128,416.686352
10.1,112,423.967562
26.1,272,452.02366
11.7,128,463.515277
11.7,128,475.043804
11.7,128,486.705031
11.7,128,498.638547
11.7,128,510.70314
11.7,128,522.914563
11.7,128,534.75355
37.3,384,572.357824
23.4,245,594.529864
10.3,114,605.928824
11.7,128,619.233725
1.5,26,624.214875
5.5,66,629.279137
17.8,189,651.377377
19.0,201,671.840879
17.2,183,693.898062
11.7,128,708.272717
8.1,92,715.188135
2.5,36,721.150735
7.4,85,727.353295
3.2,43,734.25393
17.4,185,753.937194
6.0,71,763.571799
33.8,349,801.306744
2.4,35,807.466487
18.0,191,827.508427
5.4,65,836.614153
24.5,256,863.783391
11.7,128,877.744982
11.7,128,891.416326
11.7,128,905.467012
7.5,86,912.734384
15.9,170,933.822648
11.7,128,947.746555
36.9,380,989.367839
7.0,81,1001.378404
4.0,51,1009.67994
24.5,256,1039.314215
37.3,384,1081.777691
37.3,384,1126.986107
11.7,128,1143.659211
165.3,1664,1297.073187
10.2,113,1305.159033
13.2,143,1322.700973
37.3,384,1362.328958
11.7,128,1375.218364
11.7,128,1388.627646
18.3,194,1407.386357
17.9,190,1429.45463
9.0,101,1437.67719
1.6,27,1442.627571
37.3,384,1484.869441
11.7,128,1499.371364
24.5,256,1528.427553
11.7,128,1542.207041
4.8,59,1547.006026
5.8,69,1556.437381
11.7,128,1570.398628
11.7,128,1583.868785
19.6,207,1604.945293
16.6,177,1626.82019
24.5,256,1656.315368
11.7,128,1670.747112
4.8,59,1675.600952
41.9,430,1723.933706
1.2,23,1728.973308
4.3,54,1733.795883
19.1,202,1759.197578
9.8,109,1770.247179
0.8,19,1775.357642
3.9,50,1780.199713
6.7,78,1790.963662
23.4,245,1817.167346
25.6,267,1851.981588
24.5,256,1882.308935
4.3,54,1887.130326
19.1,202,1912.134022
36.6,377,1955.130761
12.4,135,1974.429119
11.7,128,1990.208728
11.7,128,2006.479415
11.7,128,2021.949801
50.1,512,2083.043471
5.4,65,2088.799942
3.6,47,2093.662903
1.3,24,2098.473573
14.2,153,2115.909158
8.4,95,2129.094764
11.7,128,2143.091287
37.3,384,2187.204909
24.5,256,2213.814559
24.5,256,2242.750233
36.7,378,2280.551248
2.2,33,2285.69844
9.0,101,2296.715391
11.7,128,2308.357351
11.7,128,2320.633169
11.7,128,2333.166324
11.7,128,2345.270651
33.6,347,2376.58218
2.6,37,2382.053433
11.4,125,2391.665989
4.4,55,2398.062058
66.5,676,2460.079346
2.9,40,2466.033044
11.7,128,2478.539664
11.7,128,2489.775995
24.5,256,2513.571575
50.1,512,2560.352653
11.7,128,2572.251527
6.3,74,2577.078187
17.1,182,2597.321809
11.5,126,2606.775509
33.8,349,2640.341483
2.6,37,2646.116994
11.7,128,2657.684244
24.5,256,2681.740105
11.7,128,2693.205268
10.1,112,2700.711887
5.0,61,2707.915406
7.2,83,2716.941345
11.7,128,2728.241595
11.7,128,2739.646097
24.5,256,2765.682946
24.5,256,2789.355332
11.7,128,2801.099145
37.3,384,2837.807289
11.7,128,2850.590598
37.3,384,2886.979203
10.1,112,2895.109186
3.5,46,2901.20232
8.7,98,2910.955541
9.0,101,2917.766512
1.6,27,2922.624187
11.7,128,2933.850841
11.7,128,2945.47547
11.7,128,2957.064044
11.7,128,2968.366808
11.7,128,2979.808951
11.7,128,2993.092398
24.5,256,3017.814929
11.7,128,3029.656158
37.0,381,3061.481532
2.3,34,3066.378993
21.4,225,3088.116296
24.5,256,3112.731831
6.9,80,3117.576243
3.7,48,3124.130791
9.9,110,3132.762466
4.7,58,3140.186265
7.7,88,3150.793503
11.7,128,3163.658246
11.7,128,3176.856726
24.5,256,3204.887897
7.2,83,3211.972099
16.2,173,3232.830797
11.7,128,3247.078601
5.3,64,3251.888495
56.5,576,3313.565813
7.6,87,3319.664726
3.0,41,3325.621714
24.5,256,3350.988548
11.7,128,3363.040677
11.7,128,3375.897738
11.7,128,3388.378676
6.0,71,3393.227501
4.6,57,3401.030801
11.7,128,3413.959471
8.6,97,3421.855379
2.0,31,3427.619186
24.5,256,3455.576533
37.3,384,3501.06067
24.5,256,3530.458946
11.7,128,3544.610115
37.3,384,3587.969136
5.4,65,3592.775296
18.0,191,3614.509507
6.4,75,3620.508487
17.0,181,3640.522031
11.7,128,3653.452362
11.7,128,3665.747386
11.7,128,3677.621904
6.8,79,3682.460005
3.8,49,3689.312031
11.7,128,3701.913285
11.7,128,3714.327513
37.3,384,3754.189758
69.2,703,3828.525175
5.4,65,3837.960713
9.2,103,3846.64404
1.4,25,3851.880167
37.3,384,3892.81601
62.9,640,3960.55072
36.7,378,4003.617676
3.2,43,4009.504679
46.4,475,4069.653983
11.7,128,4083.981349
24.5,256,4115.540799
37.3,384,4158.383461
18.4,195,4178.82377
24.7,258,4205.741041
4.8,59,4214.56294
10.9,120,4224.081698
10.2,113,4237.286831
1.2,23,4242.220809
11.7,128,4256.684161
11.7,128,4270.060416
11.7,128,4282.934055
11.7,128,4295.005239
11.7,128,4307.640377
24.5,256,4332.790351
11.7,128,4345.166471
30.3,314,4378.242625
18.7,198,4402.971722
11.7,128,4417.786643
11.7,128,4431.871305
62.9,640,4498.702082
24.5,256,4526.525372
11.3,124,4536.870581
24.9,260,4567.014107
11.7,128,4580.042102
11.7,128,4592.810848
11.7,128,4605.421763
11.7,128,4618.21829
24.5,256,4644.518077
24.5,256,4673.250978
11.7,128,4687.80406
11.7,128,4701.899259
37.3,384,4740.039288
24.5,256,4763.717106
11.2,123,4773.08606
11.8,129,4786.573294
5.1,62,4793.522578
18.7,198,4815.278593
