#{"t_start": 1605569294.3507605, "env_id": "ChromeDino-v0"}
r,l,t
1.1,22,18.676883
0.2,13,25.63682
-0.0,11,30.876996
1.6,27,40.106523
0.1,12,45.166754
0.1,12,50.116816
0.9,20,56.306828
0.1,12,63.593237
0.8,19,68.496899
-0.0,11,73.497059
-0.1,10,79.278989
-0.1,10,84.557158
2.8,39,89.492272
7.0,81,101.372761
3.0,41,106.348041
7.5,86,119.287617
3.0,41,124.103046
3.0,41,128.994176
3.5,46,137.57278
3.5,46,143.357417
2.7,38,148.315519
2.7,38,156.111167
5.8,69,164.83444
5.5,66,176.260807
3.5,46,182.121041
2.9,40,189.751726
3.6,47,195.71156
2.6,37,200.517572
2.5,36,205.327143
3.2,43,213.841078
4.6,57,221.357686
8.5,96,236.701135
4.6,57,244.084903
1.9,30,250.534821
4.9,60,257.9537
3.7,48,263.643641
0.5,16,268.531711
3.1,42,273.477854
3.7,48,279.510638
5.8,69,290.851201
5.6,67,299.565243
0.4,15,304.492532
4.4,55,311.695659
4.2,53,318.657596
0.9,20,324.165164
2.9,40,329.251126
2.7,38,334.262336
3.3,44,340.173088
0.6,17,345.103756
4.1,52,351.407799
2.7,38,356.295052
8.1,92,370.133301
3.1,42,375.014728
1.0,21,380.308287
11.5,126,395.405358
0.8,19,400.232475
3.9,50,406.216978
10.0,111,422.053404
3.0,41,427.148003
8.5,96,441.127795
4.0,51,447.231481
1.7,28,453.219184
4.5,56,459.786005
3.1,42,464.84223
0.9,20,469.752778
2.8,39,474.556705
3.6,47,480.524859
8.0,91,494.833371
2.8,39,499.743857
2.7,38,504.715359
0.4,15,509.581638
3.9,50,516.385331
4.4,55,524.067023
0.3,14,528.973207
4.0,51,535.559332
2.5,36,540.365638
6.5,76,552.745848
2.9,40,557.823999
2.9,40,562.766746
3.2,43,571.082607
2.7,38,575.965928
3.3,44,581.73842
0.5,16,586.669794
5.6,67,595.155164
4.2,53,602.326169
1.2,23,608.273644
4.8,59,616.066868
3.9,50,625.254807
5.8,69,634.315682
2.7,38,639.154174
1.0,21,644.709776
2.8,39,649.760348
5.0,61,657.863157
5.4,65,669.260192
3.3,44,675.157526
2.5,36,680.014545
0.4,15,684.939677
4.8,59,692.592216
2.7,38,697.478651
5.4,65,708.914531
4.5,56,716.384781
7.8,89,731.273074
3.2,43,737.257077
1.9,30,744.469074
5.8,69,753.713162
2.6,37,758.630356
1.1,22,764.183042
2.8,39,769.154755
3.6,47,775.122778
3.1,42,783.41792
2.5,36,788.228153
3.4,45,794.089189
8.0,91,808.719491
2.6,37,813.563877
7.2,83,827.387649
3.4,45,833.32725
9.3,104,850.158438
2.4,35,855.07588
9.5,106,872.251346
4.7,58,882.830234
4.0,51,889.808717
3.7,48,896.350611
5.4,65,908.110224
2.5,36,913.170738
2.5,36,918.217393
0.9,20,923.73638
3.2,43,929.665945
2.4,35,934.578681
3.1,42,940.338381
4.9,60,951.500638
3.3,44,957.567062
5.6,67,969.961955
4.0,51,977.044615
6.5,76,990.616031
2.4,35,995.531941
2.5,36,1000.530366
5.4,65,1012.349883
3.6,47,1018.841767
2.5,36,1023.863193
2.9,40,1032.489191
3.7,48,1039.158317
7.6,87,1053.755985
3.7,48,1060.391119
2.3,34,1065.201071
0.8,19,1070.899504
3.4,45,1077.33071
4.0,51,1084.323138
0.4,15,1089.203759
2.4,35,1094.010834
3.3,44,1099.880787
2.5,36,1104.827664
6.5,76,1117.769942
3.8,49,1124.443257
0.5,16,1129.586576
2.4,35,1134.449156
2.3,34,1139.347889
3.6,47,1145.80751
1.8,29,1152.751256
8.5,96,1165.670545
0.4,15,1170.755654
2.9,40,1175.823155
2.7,38,1180.797883
3.2,43,1186.514256
1.6,27,1193.124568
3.9,50,1199.694161
4.0,51,1206.770043
1.5,26,1213.054113
4.1,52,1220.033066
2.6,37,1224.99475
4.6,57,1235.646763
4.0,51,1242.566145
2.6,37,1247.480218
6.8,79,1260.931999
2.8,39,1265.902778
2.6,37,1273.690108
4.2,53,1280.392858
2.8,39,1285.231615
0.5,16,1290.151551
3.5,46,1295.979723
5.0,61,1304.041915
0.6,17,1309.191987
2.7,38,1314.092115
12.9,140,1334.574678
4.1,52,1341.031253
7.3,84,1354.000719
4.1,52,1360.447016
0.7,18,1365.444738
2.9,40,1370.534446
7.0,81,1380.697244
6.3,74,1392.704447
2.7,38,1397.556688
1.2,23,1403.073282
4.2,53,1409.577305
6.4,75,1421.268773
7.4,85,1431.748317
3.2,43,1439.74336
18.1,192,1467.495802
2.9,40,1472.465509
5.7,68,1484.115434
3.5,46,1489.939092
12.3,134,1509.561066
7.4,85,1522.889231
11.6,127,1540.877411
11.9,130,1558.020239
3.4,45,1563.028784
7.8,89,1575.277428
5.0,61,1581.461558
9.8,109,1595.817361
14.3,154,1616.665811
5.8,69,1623.607514
4.8,59,1632.284481
6.9,80,1640.215384
16.4,175,1660.547898
1.1,22,1665.536104
22.4,235,1695.892844
11.7,128,1712.44213
5.0,61,1718.33914
5.6,67,1728.281678
11.7,128,1744.297382
9.6,107,1755.048713
13.8,149,1775.734211
9.9,110,1787.352438
3.6,47,1794.441731
21.6,227,1821.738217
11.7,128,1836.146791
24.5,256,1866.092816
11.7,128,1881.259673
8.3,94,1891.594146
24.0,251,1924.363176
12.4,135,1941.185896
2.1,32,1947.090026
22.3,234,1973.664143
1.1,22,1978.794939
8.6,97,1990.115608
2.0,31,1996.370902
8.3,94,2006.876192
12.4,135,2024.960702
13.0,141,2044.356831
11.5,126,2061.901678
3.5,46,2069.890631
3.3,44,2074.815038
4.3,54,2083.567416
8.3,94,2093.402529
21.3,224,2123.867038
18.3,194,2150.698689
