#{"t_start": 1605764666.3286598, "env_id": "ChromeDino-v0"}
r,l,t
13.39,162,10.704363
10.78,135,15.709505
8.64,216,23.820906
13.41,163,29.639093
8.93,221,38.103526
0.04,128,43.210872
0.18,130,48.22449
-0.28,126,53.259486
-0.22,128,58.57208
11.5,142,63.665085
17.84,209,70.727133
28.54,323,83.412857
11.06,138,88.450322
7.23,203,95.298663
11.28,137,100.967218
12.14,147,105.944042
3.02,155,110.932092
1.46,141,115.941835
13.51,160,121.088708
4.15,165,127.20871
17.7,202,133.132097
5.62,182,139.952787
12.0,146,144.953008
10.84,136,150.027112
11.65,143,155.068638
2.34,149,160.101376
11.87,145,165.184302
14.23,166,170.218901
11.48,139,176.185143
11.56,142,181.277444
1.28,139,186.28166
14.32,167,191.374227
6.4,192,198.778976
12.03,146,203.752397
0.8,135,208.719633
16.03,186,214.538553
1.72,143,219.55637
45.1,577,237.656525
12.29,148,242.651112
13.04,155,247.732316
3.15,155,252.73455
2.07,147,259.182905
12.2,147,264.26826
-4.12,81,288.793908
27.9,412,303.555311
12.59,151,308.544114
11.61,143,313.674309
11.5,245,322.566306
10.83,135,327.579427
11.11,138,332.643195
8.03,210,339.495577
12.26,258,350.72818
12.79,157,356.486637
18.39,218,364.227429
10.39,132,369.31542
0.45,133,375.67093
-0.01,128,380.692794
14.24,172,386.850923
10.68,134,391.91763
14.89,178,398.136155
14.79,284,410.253826
14.37,174,416.580138
12.88,160,422.732294
16.96,306,434.912126
-0.02,128,439.952215
0.04,128,444.922985
0.18,129,449.912593
3.31,161,455.747046
18.1,212,462.848894
28.11,318,475.280792
34.61,384,489.373832
7.14,204,497.871348
6.06,190,504.317227
12.52,151,509.38598
12.78,153,514.387164
12.0,146,520.501562
12.57,256,529.532654
11.71,144,534.64563
9.78,126,539.669993
14.53,175,545.935343
10.51,133,551.063067
15.8,186,557.193421
0.69,132,562.897594
12.73,256,571.644549
0.35,131,576.591275
13.76,167,582.526786
12.74,153,587.599392
6.2,189,594.715451
17.02,199,601.268185
29.61,330,613.497427
11.08,138,618.537771
10.64,134,623.540242
12.08,147,628.55536
16.58,192,634.463562
11.48,140,640.330133
12.47,150,645.302837
10.64,234,653.398979
12.43,150,658.456346
10.68,234,666.540963
0.01,128,671.506109
12.11,147,676.56941
11.38,140,681.558615
9.5,225,689.994004
11.23,140,695.149927
12.16,148,700.301963
9.58,224,708.334715
8.45,214,715.308435
12.97,155,720.373808
1.87,143,726.185488
1.93,145,731.160281
14.27,167,736.286211
13.75,162,741.362604
13.76,162,746.419343
0.94,132,751.754131
12.22,248,758.70784
1.32,136,764.158099
17.18,199,770.420506
5.87,185,777.387256
16.4,192,783.646594
11.96,146,788.725388
14.27,171,794.583463
31.37,351,807.755754
13.05,156,812.882722
10.6,133,817.961401
0.66,131,823.578699
-0.13,128,828.819644
-0.17,128,834.158802
3.79,167,840.180095
9.71,125,845.157644
18.91,220,853.482277
15.1,180,859.662847
16.07,189,865.891657
18.99,321,877.423793
32.13,354,889.953284
10.68,133,895.000017
5.18,182,901.467831
13.05,156,906.608289
2.23,149,912.917665
15.82,187,919.138724
11.16,139,924.181875
1.43,141,929.18293
9.61,125,934.2337
11.63,143,939.278456
20.34,238,948.729812
11.43,141,953.842602
8.9,118,958.84379
11.33,140,963.869384
3.42,164,970.999594
13.98,169,976.992152
14.61,175,983.058631
13.77,166,988.811359
0.59,130,994.332116
-0.01,128,999.33933
16.82,199,1006.213321
5.6,185,1013.705527
-0.03,128,1018.768482
20.14,233,1026.375328
2.26,151,1032.999493
-0.13,128,1038.171998
-0.01,128,1043.143614
-0.23,128,1048.435189
12.11,256,1058.14487
14.67,176,1064.25267
7.7,208,1072.469715
11.25,139,1077.598783
6.52,192,1083.752122
6.99,198,1091.334734
11.19,239,1099.493656
18.1,211,1106.462392
12.85,154,1111.551361
12.16,147,1117.617117
18.59,210,1123.576966
13.07,156,1128.718712
29.98,332,1140.740389
16.94,198,1148.284637
0.45,132,1153.274295
11.02,138,1158.400497
11.05,242,1167.293235
4.53,175,1173.467584
15.55,183,1179.442364
12.75,153,1184.518659
0.37,129,1190.271509
22.44,253,1197.839789
26.74,297,1208.683144
12.24,148,1213.701012
1.83,144,1218.657179
29.76,331,1230.771371
20.39,235,1239.461613
11.69,143,1244.507082
19.19,224,1252.164574
27.78,306,1262.953533
17.59,204,1269.392631
2.3,147,1275.194462
12.19,148,1280.225559
17.06,199,1286.601185
13.78,165,1293.301157
11.18,139,1298.380656
14.58,173,1304.175777
7.2,200,1311.744308
11.68,143,1316.757822
12.55,151,1321.768549
1.57,142,1326.725065
14.06,165,1331.840724
4.19,167,1338.269737
12.33,149,1343.265135
11.45,141,1348.253526
9.13,222,1356.646094
13.56,164,1362.54895
3.73,165,1368.30696
14.93,179,1374.60845
28.76,323,1387.051225
13.11,156,1392.08375
12.77,152,1397.083353
1.76,141,1402.693076
14.1,165,1407.724348
15.83,187,1413.986006
13.33,158,1419.063677
0.67,130,1424.514598
2.84,153,1429.478885
34.09,376,1442.678357
12.38,150,1447.753605
15.45,182,1453.702798
3.55,163,1460.419997
12.49,256,1469.547014
11.69,247,1477.323037
11.18,137,1483.230707
23.42,268,1493.148581
18.9,222,1500.708044
1.08,137,1505.716813
11.38,141,1511.977222
13.57,164,1517.686507
10.78,135,1522.669603
8.23,213,1530.876573
12.51,256,1539.924887
11.36,141,1545.060778
12.02,147,1550.180548
18.99,219,1557.160539
0.73,133,1563.020329
11.9,145,1568.047145
2.82,153,1573.016321
11.98,146,1578.074121
6.88,196,1585.388789
11.79,144,1590.357422
12.3,149,1595.407217
12.51,151,1600.478786
3.16,161,1606.291807
15.56,181,1613.35767
4.66,173,1619.25503
6.34,193,1626.957279
2.26,148,1631.932401
17.74,205,1638.367726
3.32,159,1644.769981
11.71,144,1649.904685
12.59,152,1655.023018
8.87,216,1662.716186
11.53,142,1667.761577
21.54,242,1675.908955
13.77,162,1680.923605
17.51,202,1687.147792
2.54,148,1692.775344
12.78,256,1701.421473
13.73,162,1706.532811
12.78,153,1711.583174
11.99,145,1716.652158
15.56,181,1723.524392
3.26,157,1728.518497
9.62,226,1736.868171
19.03,218,1743.584221
34.24,382,1757.903536
3.8,168,1765.224651
15.06,180,1771.527604
14.21,172,1777.809903
10.48,132,1782.833079
10.15,130,1787.969005
33.83,381,1802.598125
12.77,157,1809.544653
-0.0,128,1814.538244
0.03,128,1819.498239
11.85,145,1824.612151
10.73,239,1833.636266
14.97,177,1839.518629
11.22,139,1844.524889
10.57,133,1849.507444
11.69,143,1854.505599
12.26,148,1859.51896
2.93,156,1866.08122
12.05,146,1871.050165
11.66,143,1876.105319
11.78,144,1881.12999
22.91,259,1890.14161
15.56,288,1900.157334
4.49,172,1907.025479
21.91,250,1914.954737
12.92,157,1921.676854
10.35,233,1930.198513
1.75,143,1935.142457
14.01,164,1940.222161
7.99,205,1947.428776
20.44,232,1954.392133
28.25,311,1965.350634
9.43,225,1973.819698
12.77,153,1978.862911
14.8,175,1984.632315
5.72,184,1991.673599
14.13,169,1997.450759
8.55,215,2005.507485
16.4,192,2011.753161
6.37,192,2019.20559
20.73,237,2026.670858
