#{"t_start": 1605759181.6327991, "env_id": "ChromeDino-v0"}
r,l,t
-7.49,47,22.12385
9.78,124,45.647879
4.91,73,56.142934
1.46,141,84.128621
1.38,36,89.487894
-3.24,92,106.031013
0.14,128,127.696141
2.62,49,134.63152
4.68,70,144.216019
-11.14,9,149.474405
0.24,128,170.928941
-1.81,107,185.820889
-10.03,21,193.357879
-2.33,101,207.111165
3.97,63,220.057935
9.07,220,259.235056
6.95,93,271.797189
4.74,71,285.84298
-3.23,92,302.507804
0.18,128,324.015882
12.41,256,365.824816
17.5,204,397.342465
-7.01,52,407.819142
0.21,128,428.520413
-3.34,90,440.407802
16.07,294,491.653119
10.01,126,508.954267
1.77,40,518.391408
16.73,198,549.144746
-5.81,65,561.643568
4.87,72,571.316974
-10.95,11,576.779629
24.29,384,641.228407
15.58,290,688.21349
-3.03,94,704.996111
2.54,48,711.406713
7.74,208,747.545591
-5.06,73,757.514868
-6.78,55,769.200253
0.07,128,791.119696
24.36,384,857.547662
12.14,256,902.214187
5.69,81,913.885142
-7.57,47,924.556504
0.17,128,947.279786
24.35,384,1012.452579
0.07,128,1034.50323
7.17,97,1047.859924
-9.05,31,1056.092717
48.43,640,1167.22077
16.02,191,1198.749813
31.56,357,1262.050487
8.95,220,1300.566902
12.41,256,1343.994524
0.24,128,1365.83809
0.18,128,1388.12901
0.25,128,1409.706763
12.22,256,1454.013571
-8.67,35,1458.974446
21.14,349,1520.56287
24.39,384,1585.561241
61.04,767,1711.150079
6.66,91,1727.97053
5.03,74,1742.482346
-3.27,92,1759.135093
18.88,217,1792.447332
18.88,217,1829.595396
20.04,334,1885.47424
0.3,128,1906.490164
32.94,470,1982.259617
1.71,39,1987.506591
-11.61,4,1992.263848
9.12,116,2007.874915
-10.96,11,2013.483315
-5.04,72,2023.27089
11.82,144,2046.383291
4.16,168,2076.679413
12.59,256,2118.092686
12.69,256,2159.568286
0.24,128,2180.877169
0.26,128,2202.288005
-5.01,73,2212.196388
30.13,439,2287.409442
0.28,128,2308.890024
9.51,119,2324.485652
-11.11,9,2329.715503
24.64,384,2394.350862
0.26,128,2415.451656
0.19,128,2436.431529
36.94,512,2521.239124
0.28,128,2542.671463
0.25,128,2564.142996
0.28,128,2585.289003
0.24,128,2606.033754
-3.32,89,2617.306976
9.62,119,2636.670686
46.63,503,2718.17621
-6.43,57,2729.630646
0.41,128,2749.741139
9.53,119,2765.100988
-11.1,9,2770.393201
0.3,128,2791.259291
12.6,256,2833.066574
-1.81,106,2846.960874
-9.87,22,2854.153139
21.94,354,2909.629852
27.7,414,2980.078753
12.54,256,3022.065298
0.19,128,3043.268096
0.3,128,3064.464808
0.23,128,3085.662973
0.25,128,3106.352615
2.73,49,3112.777099
-4.42,79,3127.354524
0.18,128,3148.789402
0.22,128,3169.755514
0.21,128,3191.094967
27.47,307,3238.673313
-4.58,77,3252.262167
0.29,128,3272.684656
9.31,118,3288.251755
-11.04,10,3293.602991
0.27,128,3314.395921
0.31,128,3334.771491
19.88,229,3368.991701
-9.38,27,3376.396092
0.22,128,3396.982068
9.32,118,3412.718362
-11.06,10,3418.154073
14.18,168,3443.858404
-3.51,88,3459.682997
0.19,128,3480.939511
0.19,128,3502.771184
49.0,640,3610.338712
0.29,128,3632.393113
-6.54,57,3639.891762
-5.22,71,3653.898969
19.9,231,3690.133852
2.46,153,3719.293463
7.63,101,3733.020203
25.47,393,3798.569675
-10.29,18,3805.269484
0.15,128,3827.2273
13.34,161,3853.800809
9.22,223,3893.276383
15.41,289,3942.575321
-2.99,95,3959.944921
-8.76,34,3964.919812
-2.97,94,3981.681717
0.1,128,4003.60109
0.2,128,4025.679991
6.9,94,4039.209433
22.33,256,4083.239685
-8.76,34,4092.102465
0.16,128,4112.934019
54.44,593,4208.780127
-7.53,47,4219.119861
49.2,640,4324.11681
12.56,256,4365.651759
0.18,128,4386.501389
12.4,256,4428.956056
10.14,128,4450.070282
12.37,256,4492.454691
0.17,128,4513.707562
24.57,384,4578.401565
12.36,256,4621.018406
0.19,128,4642.075443
42.8,471,4718.368182
-8.15,41,4728.05035
0.18,128,4749.439512
0.18,128,4771.405965
-5.74,66,4780.930781
6.03,190,4815.721808
0.15,128,4837.256877
24.32,384,4902.742476
0.11,128,4924.352949
0.13,128,4945.464504
12.34,256,4987.358466
4.76,176,5015.406553
1.73,40,5020.665192
15.99,296,5075.00237
0.25,128,5096.815176
12.26,256,5140.801692
