#{"t_start": 1605775877.4490979, "env_id": "ChromeDino-v0"}
r,l,t
-8.02,42,14.918408
-5.17,72,25.634222
22.64,258,74.016551
13.74,269,127.305453
2.11,43,133.388155
15.65,185,164.245993
-9.35,28,173.256628
-1.99,105,188.625448
2.42,151,218.27996
12.51,256,261.306633
10.29,128,283.123692
12.56,256,326.726637
9.95,125,343.582444
-11.7,3,348.644321
12.61,256,392.877207
0.29,128,413.787236
0.3,128,434.739455
0.3,128,456.661688
19.81,227,491.028655
-9.18,29,498.965553
-6.23,61,508.204662
-5.61,67,521.52616
0.28,128,543.373036
16.31,191,573.569089
15.49,288,621.648434
3.41,161,654.569376
5.15,75,666.295895
17.49,309,722.247883
12.62,256,764.292857
12.62,256,807.180129
0.24,128,828.816951
29.18,325,881.886027
18.09,315,938.439979
24.83,384,1006.755564
0.22,128,1027.918173
9.59,121,1043.785752
-11.33,7,1048.944002
0.24,128,1069.790512
12.58,256,1111.23441
0.19,128,1132.210325
0.27,128,1153.134959
0.28,128,1174.080959
0.19,128,1195.266831
0.28,128,1215.951417
24.92,384,1276.602325
12.65,256,1316.687913
25.27,384,1375.403428
0.38,128,1395.701112
37.47,512,1476.284982
12.81,256,1515.578253
0.34,128,1535.813859
24.86,384,1597.493501
0.27,128,1617.910568
0.36,128,1638.243827
0.36,128,1658.237452
54.51,686,1763.429162
-4.12,82,1777.625467
25.31,384,1837.041198
37.89,512,1914.474063
0.48,128,1934.35973
0.45,128,1953.58162
0.4,128,1973.757108
0.39,128,1994.322514
-3.69,85,2005.624156
-7.73,43,2015.74645
17.61,203,2047.407801
-6.87,53,2058.410651
0.41,128,2078.984926
0.36,128,2098.843373
12.76,256,2139.867832
-4.97,73,2149.615016
18.1,311,2201.620895
0.25,128,2222.751582
0.36,128,2243.471196
0.38,128,2264.652934
10.01,126,2282.755605
-11.81,2,2288.422863
21.91,250,2327.985802
-11.44,6,2333.275612
-7.93,42,2339.074349
-3.64,86,2355.322056
11.21,242,2394.467287
1.56,142,2425.258228
0.25,128,2448.255488
0.31,128,2470.360853
24.87,384,2535.848375
0.21,128,2557.511104
8.83,113,2573.007006
-10.53,15,2579.403597
36.88,512,2666.647991
12.41,256,2709.859757
0.19,128,2731.520567
15.14,179,2761.85025
1979.34,20792,6192.267337
-9.95,21,6199.998918
8.53,110,6214.986171
-10.28,18,6222.210544
-7.94,42,6228.293573
4.09,63,6237.637957
-9.78,23,6245.362032
19.2,221,6281.424168
2.47,151,6306.656688
-10.82,12,6312.630637
9.99,126,6330.131753
-5.14,72,6343.874572
8.89,113,6364.199836
-8.18,40,6370.209929
-8.82,33,6379.147227
-2.89,96,6392.270535
-8.98,32,6401.340472
8.28,107,6415.786918
-10.0,21,6423.151037
9.62,122,6439.820946
-11.44,6,6445.018265
6.98,94,6457.744689
-8.72,34,6467.139143
7.7,101,6480.7452
23.79,270,6528.100397
-10.77,13,6534.414679
8.32,107,6548.586336
10.13,127,6569.122047
2.32,150,6598.535192
2.11,43,6604.575011
-3.76,85,6619.775969
9.74,123,6636.189126
-11.4,6,6641.25262
0.15,127,6662.842446
0.32,128,6683.567547
