#{"t_start": 1605661946.0581038, "env_id": "ChromeDinoHandrafted-v0"}
r,l,t
-1.02,112,25.501949
-7.26,48,30.643876
-7.38,47,35.67889
-6.28,58,41.955024
4.27,64,48.326429
6.14,83,56.368609
2.71,48,61.569168
2.62,47,66.84445
2.75,48,71.87623
-6.88,52,76.870399
3.15,52,81.937223
3.23,53,87.134651
3.88,60,93.273533
5.44,76,101.038208
6.43,86,110.099141
3.65,57,115.277282
3.35,54,120.479828
7.06,93,129.322468
3.03,51,134.292403
4.2,63,140.877507
3.33,54,146.115119
5.82,80,153.842825
-5.8,63,160.24553
6.58,88,168.826621
-7.06,50,173.808291
4.89,70,180.10949
5.15,73,187.87333
2.64,47,193.220659
3.45,55,198.334211
-5.27,68,204.89335
9.48,118,216.132846
-7.65,44,221.112302
6.7,89,229.042463
5.32,75,235.760312
4.37,65,242.068355
4.15,63,248.357399
5.55,77,255.418825
13.89,163,271.048849
3.78,59,277.020473
-2.71,95,286.281902
-1.53,107,297.622182
-6.8,53,302.624449
3.26,53,307.939431
4.77,69,314.641832
3.12,52,319.81434
5.84,80,327.871482
9.91,122,340.117586
11.16,135,353.481814
4.49,66,359.976412
9.34,116,371.36218
-4.02,81,379.067457
12.54,148,394.478446
6.95,91,403.549596
-1.25,109,414.307169
3.01,51,419.516005
4.99,71,425.677617
16.54,190,444.894552
3.12,52,450.009808
6.53,87,458.491273
5.02,71,464.732378
5.07,72,471.246387
4.21,63,477.708749
4.61,67,484.161697
-6.84,52,489.376389
5.65,78,497.234795
0.97,132,509.245033
3.72,58,514.401726
24.23,268,540.276467
3.12,52,545.61372
3.44,55,550.8289
-1.14,110,561.623637
8.3,105,571.937053
-4.43,77,579.871884
8.23,104,589.86905
6.56,87,597.945813
-5.08,70,605.085703
5.37,75,612.802334
8.47,107,624.33802
6.73,89,633.474453
14.0,164,650.172867
4.51,66,656.558668
4.8,69,663.282617
3.34,54,668.568191
4.3,64,674.798233
3.27,53,680.033225
9.02,112,690.380425
3.45,55,695.63909
-2.5,97,705.587534
-6.92,51,710.548168
31.47,345,747.186229
25.09,278,776.65845
15.29,177,794.447268
6.93,91,803.938723
-4.82,73,811.537464
6.74,89,821.351903
18.09,206,842.169821
8.97,112,853.005337
9.02,113,865.465178
8.95,112,877.249254
7.34,95,886.937978
11.22,135,899.679648
9.28,115,911.426386
10.93,132,924.44713
3.05,51,929.636594
-0.37,118,941.194718
-3.8,83,949.438354
11.41,137,963.984339
2.93,50,969.19239
14.18,165,985.244627
18.05,205,1006.410386
7.17,93,1015.23293
14.16,165,1031.577753
5.95,81,1039.443002
1.83,141,1054.019965
-3.34,88,1062.9336
3.25,53,1068.064145
-6.42,56,1073.017725
33.73,365,1106.115146
-2.47,96,1114.194584
4.54,66,1120.264819
4.06,61,1125.369411
-4.34,77,1132.05887
-6.61,54,1137.009975
-6.62,54,1142.030759
48.88,623,1203.504846
17.37,197,1222.605095
4.5,66,1229.163544
5.73,78,1236.728145
3.66,57,1241.902982
15.24,278,1270.120928
36.88,399,1310.089634
10.86,234,1333.47787
27.9,306,1364.609572
6.17,83,1372.606708
8.87,111,1383.826267
5.39,75,1391.243742
40.3,434,1433.572738
3.76,58,1438.798127
12.5,147,1451.719075
3.86,59,1456.987643
7.9,100,1466.812669
20.25,228,1490.139987
-6.51,55,1495.113719
17.18,299,1524.657073
15.65,181,1542.140421
5.51,76,1548.860012
4.94,70,1554.007451
-5.02,70,1558.989393
22.81,350,1587.813255
-7.21,48,1592.807353
9.35,219,1615.643852
-5.64,64,1621.943553
11.64,243,1648.133589
-5.76,63,1654.411008
-5.65,64,1660.883516
19.97,226,1684.812954
-11.8,2,1690.404278
-11.8,2,1696.652869
-11.8,2,1703.186626
-7.68,44,1709.745736
32.59,357,1746.398779
2.55,149,1761.748102
7.12,93,1771.522813
13.7,161,1788.42083
4.68,68,1795.446815
0.83,131,1809.659863
15.25,177,1829.501686
3.42,55,1835.663035
19.73,224,1858.88273
-0.74,115,1871.537355
4.21,63,1878.003894
8.27,208,1899.980154
4.4,65,1906.70964
-0.74,115,1919.215602
10.48,128,1932.782917
3.44,55,1937.993924
2.74,48,1943.212954
7.96,102,1953.780343
21.79,245,1980.448677
8.25,105,1991.217928
4.09,62,1997.727922
6.49,87,2006.541594
3.89,60,2013.136624
3.64,57,2018.337129
7.24,198,2038.918516
13.08,155,2055.69091
4.71,68,2062.246239
4.82,173,2080.044439
3.16,52,2085.420766
1.33,136,2098.796293
15.19,177,2118.003338
