#{"t_start": 1605828617.4690127, "env_id": "ChromeDinoHandrafted_accl-v0"}
r,l,t
1.02,32,12.442211
1.64,39,19.282843
0.45,26,24.138405
-8.18,40,31.96259
-10.25,19,36.660972
0.54,27,41.46094
3.01,53,49.613919
0.83,30,54.269958
-9.04,31,58.938127
2.01,42,65.352271
-8.51,37,71.059921
1.69,39,76.699916
1.57,38,82.501061
1.88,41,88.657904
0.95,31,93.429061
0.92,31,98.266911
2.02,42,104.59704
-6.94,53,112.428993
1.54,38,118.013706
-8.41,38,124.005825
0.99,32,128.751561
1.33,35,134.346421
-9.09,31,139.143217
-8.53,37,145.179047
0.88,31,149.965119
-8.85,33,154.678712
1.13,33,159.437585
2.68,49,166.7881
0.93,31,171.501883
-9.03,32,176.196303
-9.02,32,180.970658
1.94,41,186.629939
1.7,39,192.330646
1.8,40,198.135452
1.16,33,202.976987
1.73,39,208.689227
1.67,38,214.313074
1.12,33,219.107871
-8.66,35,223.835822
1.08,32,228.607762
3.34,56,236.914061
-7.53,47,244.049386
-9.54,26,248.840438
-9.51,26,253.488162
1.31,35,259.434172
-9.24,29,264.225705
-9.33,28,269.084319
0.32,25,273.657669
2.0,42,280.579329
1.49,37,287.483244
0.91,31,292.897025
-9.56,26,297.422969
0.43,26,301.875751
0.92,31,307.203963
0.74,29,311.789783
-9.39,28,316.186324
-9.5,27,320.682276
1.26,35,326.206118
0.64,28,330.593652
-5.84,65,340.494225
1.21,34,345.93117
1.29,35,351.517035
1.32,35,356.909865
2.39,46,364.065422
0.75,29,368.576251
1.16,34,374.069594
-8.73,35,379.422611
-8.37,39,385.396485
0.8,30,389.87177
1.62,38,395.781844
0.84,30,400.369184
2.38,47,407.572631
-8.6,36,413.551758
2.19,45,421.005124
1.07,33,426.410142
0.78,29,430.935531
0.59,28,435.429386
2.34,47,443.239489
2.04,44,450.513111
1.12,33,455.935592
-9.49,27,460.338225
-9.47,27,464.730646
-9.05,31,469.867392
0.44,26,474.382407
-9.14,31,479.993436
0.31,25,484.51658
0.95,32,489.993271
0.3,25,494.352412
0.96,32,499.768426
2.38,47,508.101419
-9.69,25,512.568458
-9.23,30,518.068872
0.2,24,522.525279
0.88,31,528.010438
-9.7,25,532.518538
1.81,41,539.742481
0.83,31,545.224833
-8.79,35,551.4921
1.44,37,557.769691
-9.05,32,563.296483
-8.39,39,569.971379
-9.6,26,574.409316
2.28,46,582.261505
-9.58,26,586.750466
0.32,25,591.188415
-9.65,25,595.560354
-9.1,31,600.908513
0.86,31,606.267455
2.67,51,615.408427
0.38,26,619.920396
-9.7,25,624.337395
-9.07,32,629.866383
-8.22,41,637.081372
0.42,26,641.56663
-8.03,43,649.118387
0.41,26,653.682543
3.03,55,663.422653
0.98,32,668.927902
-9.13,31,674.484435
-8.77,35,680.72839
0.54,27,685.266245
0.29,25,689.783598
0.84,31,695.337552
0.89,31,700.642511
0.98,32,706.165394
0.41,26,710.671436
-9.54,26,715.102982
0.7,29,720.296429
-9.05,32,725.785557
1.45,37,732.416609
1.3,36,738.449243
-8.54,37,744.713384
0.31,25,749.119501
0.4,26,753.616501
2.09,44,761.13588
0.41,26,765.533976
-8.49,38,772.170573
0.6,28,776.721357
1.01,32,781.994729
3.86,63,792.542578
0.45,26,796.973306
1.85,41,803.963903
0.63,28,808.548744
0.96,32,813.93341
-9.48,27,818.405053
1.93,42,824.941957
-9.37,28,829.31687
0.76,29,833.902328
2.11,44,840.861182
1.34,35,846.175534
1.06,33,851.696177
-9.33,28,856.086049
-8.23,40,862.05766
-9.26,29,866.474139
0.98,31,871.010283
0.64,28,875.514873
-8.56,36,880.92407
0.92,31,885.422671
1.39,36,890.920482
0.86,30,895.482685
0.89,30,899.940525
1.62,38,905.704671
0.72,29,910.379367
1.35,36,915.968622
-9.26,29,920.357636
1.46,36,925.82762
1.75,40,931.90672
0.84,30,936.491792
1.22,34,942.040323
0.55,27,946.550141
-9.41,27,951.000703
4.52,69,962.120295
-9.3,28,966.560508
0.46,26,970.975854
1.63,39,977.138826
1.72,40,983.693043
0.76,29,988.189294
1.43,37,994.169546
-8.8,34,999.50473
1.2,34,1004.980985
2.22,45,1012.462292
0.63,28,1016.89586
0.55,27,1021.406803
0.85,30,1025.886418
0.63,28,1030.341833
-8.0,43,1037.194731
-9.16,30,1041.655931
1.2,34,1047.015808
-9.36,28,1051.460557
3.17,56,1060.743812
-8.81,34,1066.26585
1.25,34,1071.705693
1.76,40,1078.185445
1.23,34,1083.476469
1.79,41,1090.025324
0.75,29,1094.505786
-8.54,37,1100.146762
0.84,30,1104.708827
1.26,35,1110.168704
-8.92,33,1115.606675
1.1,33,1121.164269
-9.49,27,1125.583333
3.01,54,1134.490864
-8.0,43,1141.253576
0.8,30,1145.761877
1.22,34,1151.159642
-9.19,29,1155.669297
0.79,29,1160.199352
1.59,38,1166.268014
-9.0,32,1171.695751
0.45,26,1176.164382
1.08,33,1181.640902
0.64,28,1186.134017
1.38,36,1191.537836
-8.79,34,1197.060828
2.87,52,1205.394145
-7.31,50,1213.398882
0.53,27,1217.900179
-9.48,27,1222.335371
2.49,48,1230.274325
3.94,64,1240.564848
1.28,35,1246.031021
0.81,30,1250.632327
-9.32,28,1255.086104
-9.34,28,1259.577512
-9.24,29,1263.952963
0.76,29,1268.370673
-9.36,28,1272.753897
1.72,39,1279.002602
1.76,40,1285.075342
0.55,27,1289.484997
-8.22,40,1295.487658
-7.93,43,1302.102741
2.02,42,1308.301907
2.22,44,1314.91493
1.34,35,1320.115993
-9.36,28,1324.50131
2.52,48,1331.855005
-9.0,32,1337.307796
4.94,74,1348.511014
1.53,38,1354.672885
-9.32,28,1359.02732
-8.8,34,1364.418867
-9.13,30,1368.880467
