#{"t_start": 1605634672.6141558, "env_id": "ChromeDinoHandrafted-v0"}
r,l,t
3.46,57,15.672065
2.66,48,20.877207
1.9,40,26.021895
1.54,37,31.057302
5.29,76,40.625042
-7.78,44,45.754652
2.39,45,50.765272
-3.76,85,60.552661
-7.49,46,65.509523
-6.51,57,71.775484
3.84,60,78.306035
2.48,46,83.332213
4.17,63,90.204999
-7.38,47,95.197008
-7.68,45,100.216693
-6.03,61,106.797358
2.6,47,111.927337
2.41,45,117.043035
2.59,47,122.16822
2.81,49,127.219109
-7.47,46,132.226138
3.88,60,138.390364
2.67,48,143.625489
-5.68,65,150.29383
9.4,118,162.461479
-7.2,49,167.415981
5.75,79,175.877564
-7.42,47,180.84291
5.63,78,189.00664
2.91,50,194.068498
5.46,76,201.978805
3.34,55,207.943422
5.07,72,215.277449
2.8,49,220.319693
2.79,49,225.45469
-7.99,41,230.445997
2.82,49,235.626158
5.93,81,244.121045
2.25,43,249.194268
-7.04,50,254.137964
-7.35,47,259.086347
2.87,50,264.203996
2.92,50,269.33913
-7.29,48,274.293361
2.81,49,279.376027
3.76,59,285.47964
7.86,101,296.198693
7.62,99,306.869154
6.92,91,316.218141
3.09,52,321.264139
2.83,49,326.308094
3.02,51,331.399503
-6.39,57,337.442023
3.23,53,342.599007
4.26,64,348.798131
2.8,49,354.041272
5.46,77,361.985653
-6.87,52,366.957544
2.68,48,372.102782
2.69,48,377.164602
10.44,129,391.153462
3.85,60,397.992906
3.69,58,404.175536
6.15,83,412.92625
5.84,81,421.285855
5.05,72,428.74259
-7.87,42,433.716493
-6.22,60,440.863974
6.33,86,450.492323
-7.77,44,455.447332
2.78,49,460.452769
3.19,53,466.653444
2.69,48,471.683586
-7.38,47,476.652408
-7.22,49,481.612619
2.68,48,486.678531
4.29,64,493.491121
8.7,110,504.876137
