#{"t_start": 1605635223.6206543, "env_id": "ChromeDinoHandrafted-v0"}
r,l,t
15.06,179,6.340195
29.17,327,13.587163
28.21,320,21.06494
36.78,406,29.957119
22.47,254,35.01194
20.89,240,40.212629
20.4,234,45.27789
19.77,228,50.300707
19.92,230,55.299037
20.19,233,60.33711
11.61,246,65.330759
20.52,236,70.392459
29.21,324,76.947205
33.83,369,83.898856
29.37,324,90.244752
14.0,267,95.257499
26.88,294,100.319812
28.04,305,105.401557
29.3,317,110.427602
30.29,326,115.460857
43.68,464,123.242483
32.59,352,129.220876
25.13,375,135.367978
42.16,444,142.17866
44.88,572,150.86927
30.64,329,155.909389
39.05,415,162.332964
70.76,737,174.348512
19.51,318,179.317066
18.84,312,184.295502
42.95,453,191.237111
34.22,466,198.338473
29.59,418,204.469956
32.52,347,209.493839
30.66,329,214.451441
31.09,333,219.667687
42.83,453,227.028996
34.2,367,232.967625
30.37,327,237.996251
42.46,451,245.293351
55.52,682,256.16785
30.44,327,261.2288
30.26,325,266.249601
21.5,337,271.201345
31.15,334,276.214867
33.12,353,281.347257
32.51,347,286.347193
29.97,321,291.444138
32.2,343,296.640759
42.9,452,303.978141
33.27,355,310.000144
41.68,439,317.217327
38.71,409,323.63673
43.9,461,331.169537
19.52,316,336.188334
50.17,525,345.111262
26.98,293,350.154044
16.07,284,355.149678
26.64,394,362.702287
27.64,299,367.727978
31.99,347,374.187059
36.53,396,382.057988
12.85,255,387.022467
22.24,249,392.068492
25.54,280,397.191201
40.26,432,405.244936
27.36,298,410.276319
37.92,405,416.977122
32.26,349,423.228915
28.12,305,428.257905
48.36,513,437.162458
43.56,462,444.610584
59.5,624,454.832098
32.01,343,460.01379
31.99,342,465.146346
35.5,378,471.045476
35.44,378,477.003551
31.68,339,482.008189
21.15,334,487.007895
43.4,458,494.029572
42.11,444,500.628509
33.5,356,505.714756
31.9,341,510.875632
30.37,326,515.885405
63.16,659,526.167605
32.62,349,531.287142
21.89,341,536.273838
31.03,333,541.318273
40.06,425,548.125451
46.14,488,556.408789
50.69,532,564.67795
33.44,356,569.76215
62.44,653,580.413
37.13,393,586.282297
25.76,380,592.246752
32.27,344,597.335266
33.34,355,602.436782
23.0,351,607.422624
37.68,400,613.542702
41.15,434,619.941871
22.76,349,624.90764
42.89,452,631.968179
51.09,534,640.122226
52.45,549,648.431652
39.19,414,654.509888
48.03,604,663.546764
33.21,353,668.65648
22.87,349,673.623292
45.93,482,680.95418
52.4,648,690.643204
34.02,361,695.676218
23.93,360,700.68053
33.03,351,705.718587
33.37,355,710.768064
39.69,419,716.855122
48.54,508,724.639895
29.76,419,730.818833
38.99,412,737.019334
72.32,749,748.663411
47.38,497,756.13861
35.19,474,763.278476
33.01,351,768.353282
33.52,356,773.358956
33.09,352,778.404864
33.11,352,783.488477
50.15,525,791.625057
52.87,552,800.264851
34.43,365,805.360807
24.3,363,810.351834
35.19,474,817.38219
33.01,351,822.42522
52.24,548,831.329328
32.72,349,836.478618
32.73,349,841.503061
34.18,363,846.630343
33.78,359,851.701435
96.61,1092,868.264822
42.81,550,876.124605
24.99,370,881.095052
34.84,369,886.132812
34.56,366,891.129778
29.66,417,897.182228
33.22,353,902.249423
33.24,354,907.324119
32.79,349,912.29875
38.68,409,918.292876
33.92,360,923.371453
31.87,340,928.397473
32.88,350,933.435019
22.49,346,938.431174
33.69,358,943.576344
33.09,352,948.583182
33.47,356,953.673937
37.99,402,959.822096
31.48,336,964.882104
51.38,536,972.857315
46.23,484,979.920229
34.34,364,985.044576
40.52,427,991.142125
36.56,487,998.217237
33.18,353,1003.284477
34.22,363,1008.349258
41.86,441,1014.969293
36.58,388,1020.791365
41.86,441,1027.429079
33.61,357,1032.557498
34.22,363,1037.658785
44.66,468,1044.35481
24.04,361,1049.355501
34.39,365,1054.463665
72.83,754,1066.173858
33.79,359,1071.410138
41.54,437,1077.782057
34.22,363,1082.789957
33.79,359,1087.823817
40.24,424,1093.828855
65.44,678,1103.884283
56.3,586,1112.716407
53.41,557,1120.847357
37.51,497,1127.939529
34.32,364,1133.034128
59.68,619,1142.018463
23.3,353,1147.001035
43.92,461,1153.801419
40.1,423,1159.936629
41.04,432,1166.059611
34.41,365,1171.151686
291.35,2946,1216.052593
74.65,869,1228.899302
42.13,542,1236.528553
74.23,866,1249.271092
57.82,699,1259.186162
103.07,1153,1276.279636
65.18,773,1287.196495
24.3,363,1292.16433
72.3,845,1304.729279
23.7,357,1309.731262
69.47,816,1321.424199
97.34,997,1336.074878
50.59,527,1343.781776
61.48,736,1354.413271
167.46,1801,1381.561985
40.13,522,1389.131452
43.94,460,1395.548246
69.99,721,1405.699615
34.26,363,1410.74001
85.02,972,1425.215432
111.98,1242,1443.097029
35.88,479,1449.665624
33.39,454,1455.975182
44.44,565,1464.053626
135.18,1477,1485.857989
31.59,436,1491.927909
105.08,1173,1509.285197
36.66,487,1516.082463
31.59,436,1522.101989
23.85,359,1527.089765
88.0,1002,1541.846192
212.04,2251,1575.450462
284.67,2884,1619.680146
69.39,718,1630.451304
60.51,629,1639.806313
54.25,565,1647.909244
82.18,848,1661.289877
49.47,517,1668.879186
33.69,358,1673.934318
34.19,363,1679.056765
117.79,1205,1697.036247
44.35,465,1703.777582
112.35,1150,1721.373031
64.1,664,1731.371928
99.01,1016,1747.098568
41.45,436,1753.363524
34.42,365,1758.469319
73.65,761,1770.271133
40.55,427,1776.606
34.93,370,1781.841931
34.53,366,1786.931977
53.46,558,1795.20926
33.51,356,1800.280233
33.19,353,1805.341568
39.24,414,1811.362737
34.41,365,1816.399571
33.8,359,1821.408943
50.82,530,1828.911102
56.96,592,1837.36684
40.26,424,1843.544777
34.75,368,1848.666833
60.31,625,1857.756815
188.24,1911,1886.358168
67.58,797,1897.705718
70.4,826,1909.923507
73.95,762,1921.139349
53.96,561,1929.137253
52.6,548,1937.159228
35.34,374,1942.375296
54.91,571,1950.837616
55.98,582,1959.572373
41.09,432,1965.868115
34.46,365,1971.028197
316.66,3188,2011.847264
34.75,368,2017.031077
40.68,428,2023.105776
34.44,365,2028.128613
54.58,568,2036.372285
34.33,364,2041.40907
41.5,436,2047.654874
33.42,355,2052.745224
43.89,460,2059.430455
34.14,462,2066.017494
34.63,367,2071.133793
33.83,359,2076.188698
161.19,1633,2098.533792
32.89,350,2103.542547
40.82,430,2109.761167
46.2,484,2116.91524
33.92,360,2122.029639
30.7,328,2127.015867
34.53,367,2132.756306
36.24,384,2138.601922
31.98,341,2143.585169
38.44,406,2149.506419
38.6,408,2155.319808
42.18,443,2161.898443
31.2,333,2167.013966
32.42,345,2172.175515
33.22,353,2177.271371
37.86,400,2183.082323
38.06,402,2188.838531
38.45,406,2194.689435
43.97,461,2201.352291
33.92,360,2206.589209
31.99,341,2211.609327
32.71,348,2216.594142
34.32,364,2221.711114
39.02,413,2227.878819
32.48,346,2232.851819
39.14,414,2239.045172
38.0,403,2245.334759
32.73,348,2250.410875
37.77,400,2256.436474
