#{"t_start": 1605687235.483683, "env_id": "ChromeDinoHandrafted_accl-v0"}
r,l,t
10.48,125,19.597421
-6.34,57,25.729617
-7.71,43,30.419814
-2.83,93,40.760627
2.29,43,45.419331
20.26,223,69.077498
45.87,582,126.312212
13.66,257,153.765884
-4.54,76,162.662543
-8.21,38,167.141148
1.98,40,171.697751
-3.51,86,181.533247
13.29,153,199.722612
3.5,158,219.419249
-8.61,34,223.866312
-7.06,50,230.15183
-3.99,82,240.748262
-8.41,36,245.194369
-7.52,45,250.689203
-8.31,37,255.190281
4.65,171,276.566086
-6.13,60,284.333713
2.63,47,290.300554
1.94,40,295.749856
-3.2,90,307.153855
6.87,91,318.712965
0.06,125,336.55731
9.63,120,352.915679
-7.24,48,358.722552
7.35,96,371.242921
6.95,92,384.004169
-6.34,58,391.348603
-8.26,38,396.728975
50.24,525,467.227031
8.05,104,482.19425
6.13,84,494.948761
7.42,97,508.039385
7.32,96,522.177078
7.8,101,536.606369
16.21,187,563.436777
5.5,77,574.544223
0.28,126,592.050336
1.36,34,596.614051
2.29,148,617.09785
7.28,95,629.451738
8.56,108,644.090699
8.66,109,658.752429
9.52,118,674.717686
6.7,89,686.942297
1.65,37,692.032381
8.91,214,720.498153
18.6,211,748.876225
2.59,150,769.121749
7.07,93,782.049359
8.5,108,796.612397
6.73,90,808.743177
8.59,109,824.062028
9.13,114,839.582837
7.01,93,852.620128
-5.5,66,861.446764
-5.55,66,869.974072
4.05,62,878.848914
6.25,85,889.953782
8.27,105,904.407513
12.53,149,924.635722
2.8,152,944.92768
8.7,110,959.535416
-6.58,55,967.136897
5.42,76,977.320049
7.73,100,990.914999
2.3,44,997.077027
2.3,147,1016.964223
22.81,251,1050.196916
7.64,99,1064.39846
3.28,157,1085.741417
7.01,195,1112.386546
7.67,100,1127.129699
-5.52,66,1135.546846
5.26,75,1146.376707
-2.46,98,1160.245569
5.7,79,1170.717598
6.39,86,1182.431929
8.81,111,1197.601417
-6.59,55,1204.660199
12.26,146,1224.314157
6.45,86,1235.647266
4.38,65,1244.298287
5.2,74,1254.557281
11.17,135,1273.224065
7.03,93,1286.175948
6.2,84,1297.076259
6.17,83,1307.840239
5.73,79,1318.372599
7.57,98,1331.741812
6.52,87,1343.286432
11.26,135,1361.245848
-5.71,64,1370.213858
7.29,95,1383.062628
5.57,77,1393.216517
5.81,80,1404.707721
5.83,80,1415.748877
5.91,81,1426.176523
7.52,97,1438.876407
3.17,53,1446.299031
-8.61,34,1450.769968
6.69,89,1462.777371
-8.81,32,1467.249519
5.9,81,1478.381673
6.44,87,1490.044019
6.1,83,1501.0599
7.22,94,1513.35081
19.52,220,1543.061002
6.19,84,1554.049992
6.61,88,1565.76489
6.22,84,1577.37058
1.36,34,1581.957101
7.23,95,1594.41801
-8.54,35,1598.943122
5.21,74,1609.110682
4.62,68,1618.206995
6.09,83,1629.271022
28.85,311,1670.96262
5.6,78,1681.472751
5.63,78,1692.498456
8.75,110,1707.503846
16.09,185,1733.073235
5.79,80,1745.159046
14.78,172,1768.132906
-8.91,31,1772.606194
13.69,161,1795.870746
-9.01,30,1800.325334
-6.59,55,1808.099211
7.99,204,1836.014926
10.81,132,1854.278322
-7.97,41,1859.650331
2.23,146,1879.210912
1.56,36,1883.842381
-7.94,41,1889.125682
0.74,131,1906.834901
8.36,106,1920.718906
6.74,89,1932.404341
7.47,97,1944.965399
2.34,44,1950.615544
5.11,73,1960.613852
5.44,76,1970.631566
13.6,160,1992.625383
9.15,114,2007.868513
7.32,95,2020.38717
-3.99,82,2030.819189
8.82,111,2045.492694
7.64,99,2058.511123
8.14,104,2072.542701
7.18,196,2098.006514
3.89,60,2106.065025
-3.26,89,2117.788553
3.99,61,2125.547939
9.9,122,2141.502291
6.43,86,2152.591779
6.5,87,2164.346265
2.08,144,2183.178514
4.49,66,2191.534836
7.2,94,2203.837968
5.85,80,2214.273337
6.71,89,2225.781105
10.43,127,2241.865391
10.35,126,2258.391728
10.26,125,2274.335356
18.36,208,2300.942905
9.39,218,2328.976271
7.79,100,2341.879019
6.05,82,2352.7729
6.82,90,2364.289196
11.38,137,2382.333647
2.4,147,2401.443516
6.33,85,2412.208875
9.06,113,2426.949291
18.27,207,2453.935381
19.93,223,2482.410588
13.41,157,2501.980385
-1.08,111,2515.677802
5.73,180,2538.061378
1.58,138,2555.373471
6.85,90,2567.189609
-6.64,54,2573.961904
7.61,98,2586.283427
5.94,81,2596.648251
20.06,327,2638.614778
24.47,270,2673.338415
6.78,89,2685.040711
6.67,88,2695.738328
6.45,86,2706.562253
7.94,101,2719.566158
-6.85,52,2726.248703
14.22,167,2748.499705
6.38,85,2759.266267
8.51,107,2772.716568
2.63,47,2778.875856
8.95,112,2793.359929
6.54,87,2804.570071
5.77,79,2814.625528
6.26,84,2825.221125
6.98,91,2837.057717
7.64,98,2849.540019
7.46,96,2862.032009
6.45,86,2872.9149
6.55,87,2883.757459
5.85,80,2894.389178
9.98,122,2909.604811
5.97,81,2919.787791
7.17,93,2931.512881
6.3,84,2942.015285
4.68,170,2963.428858
7.65,98,2975.897705
9.41,116,2990.428728
9.98,122,3005.933658
5.98,81,3016.390071
9.59,118,3031.446471
7.35,95,3043.690803
7.44,96,3055.620765
-2.76,94,3067.629143
1.46,137,3085.188225
11.22,135,3102.207762
10.17,124,3118.339878
-7.72,43,3123.821162
5.77,79,3133.921261
7.74,100,3146.912096
5.64,78,3157.247061
9.26,115,3172.092039
4.22,63,3179.917277
8.18,104,3193.739104
10.5,128,3210.381534
23.27,258,3244.05376
5.92,81,3254.882637
10.48,127,3271.215703
7.26,94,3283.253689
9.82,121,3298.341809
3.74,161,3319.315566
5.64,78,3329.629742
6.31,85,3340.498198
8.47,107,3354.957808
8.36,106,3368.698048
7.66,99,3381.425353
5.92,81,3392.13098
6.21,84,3403.458673
9.59,119,3419.698998
8.82,111,3434.556964
6.39,86,3446.169822
5.33,75,3456.117041
18.97,215,3485.099453
5.84,80,3495.677645
3.86,60,3504.071748
1.86,39,3508.808872
6.01,82,3520.0138
5.29,75,3530.13418
5.14,73,3540.35439
5.61,78,3550.668572
5.46,76,3560.86421
3.7,161,3582.302517
7.82,101,3596.057988
-4.78,74,3606.090523
11.63,140,3624.999262
6.04,82,3635.779898
6.99,195,3661.848929
3.03,51,3668.669874
-5.16,70,3678.00756
5.3,75,3688.253886
-8.14,39,3693.350971
5.98,82,3704.453389
9.06,113,3719.390459
7.68,100,3733.010876
6.55,88,3744.891487
11.31,137,3763.270423
4.37,65,3771.909652
5.52,77,3782.046231
6.35,85,3792.766444
7.62,98,3805.47309
6.04,82,3815.509259
7.18,94,3827.782532
4.07,62,3835.988565
9.65,120,3851.859616
7.11,93,3864.502708
6.62,88,3876.019287
5.29,75,3886.482237
5.52,77,3896.77134
7.77,100,3910.547405
5.6,78,3921.140564
1.56,36,3925.82337
9.4,117,3941.769421
7.28,95,3954.503491
6.49,87,3966.117906
3.38,55,3973.686973
9.34,117,3989.373709
7.09,93,4002.319982
1.96,143,4021.660175
8.12,103,4035.029789
8.32,106,4049.160546
4.48,66,4057.740499
4.77,69,4066.895607
16.21,187,4091.875385
5.54,77,4102.112088
10.29,126,4118.440113
6.89,91,4130.429913
1.37,34,4135.094113
7.33,95,4147.231648
15.82,285,4184.973762
9.8,121,4201.296702
6.5,87,4212.866371
6.42,86,4224.251172
5.65,78,4234.350441
7.94,102,4247.775882
10.15,125,4264.172445
6.93,91,4276.42268
8.1,103,4289.911194
11.77,141,4308.987189
6.25,84,4319.696466
7.12,93,4331.682366
7.2,94,4344.183668
9.57,118,4359.666607
10.6,129,4376.501623
8.17,104,4389.756875
7.47,97,4402.517442
83.76,860,4508.293357
18.2,207,4536.268547
-7.16,49,4542.795369
5.49,76,4552.969114
7.37,96,4565.752112
5.35,75,4576.013809
6.77,90,4588.220392
16.79,193,4614.371533
5.91,81,4625.650669
2.75,151,4646.531803
8.61,109,4661.40332
6.68,89,4673.444077
9.27,116,4689.378622
6.85,91,4701.607958
0.41,128,4719.18563
9.72,121,4735.20714
6.21,84,4746.585781
7.98,102,4760.590948
6.62,88,4772.072484
25.26,280,4809.74316
